cus_comment,Completion result
南信 算是 广州 著名 甜品店 吧 好几个 时间段 路过 都 是 座无虚席 看着 餐单 上 密密麻麻 满满当当 好吃 的 容易 范 选择 困难 症拼桌 的 体验 不是 最好 人多 嘈杂 只想 快点 吃 完 赶紧 撤 自己 到 收银台 点单 服务员 只管 上菜 食物 味道 还是 要点 赞 的,"{""overall"":""7"",""taste"":""8"",""environment"":""3"",""service"":""5""}"
中午 吃 完 了 所谓 的 早茶 回去 放下 行李 休息 了 会 就 来 吃 下午茶 了 服务 两层楼 楼下 只能 收 现金 楼上 可以 微信 支付宝 先找 座位 再点 单 环境 人 很多 去 的 那 时候 还 下雨 楼下 楼上 座无虚席 可见 生意 真是 好 啊 芝麻糊 其实 是 芝麻糊 加 了 汤 丸 我 觉得 这个 不太腻 所以 吃 了 挺 多 双皮奶 双皮奶 第一口 的 味道 我 是 很 喜欢 但是 吃 多 了 有点 腻 碗 的 分量 不小 店里 吃 的 挺 多 不过 不饿 也 就 点 了 个 招牌 的 尝尝 再有 机会 去 的话 换 个别 的 尝尝,"{""overall"":""7"",""taste"":""7"",""environment"":""7"",""service"":""7""}"
冲刺 王者 战队 吃遍 蓉城 战队 有 特权 五月份 和 好 朋友 毕业 旅行 来 了 广州 我们 都 是 双皮奶 爱好者 搜到 啦 最火 的 店 吃 完 早茶 就 慢慢 等 这家 店 开门 了 等 吃 的 真的 是 煎熬 哦 九点半 店 一 开门 瞬间 就 人 很多 了 很多 老爷爷 老奶奶 专门 来 吃 一碗 然后 走 人 哈哈 向往 这种 悠闲 的 日子 姜汁 撞奶 喝 不太惯 姜味 真的 好重 啊 喝 着 辣辣的 我们 四人点 了 一碗 都 没 喝完 哈哈 红豆 双皮奶 怎么 说 呢 这边 的 双皮奶 稍微 的 稠 一些 比 酸奶 还要 稠 一些 奶味 很重 吃 起来 蛮香 的 那 平时 吃 的 双皮奶 像 果冻 一样 哈哈 我 还是 更 喜欢 吃 果冻 的 双皮奶 总体 还 不错 的 一家 店 我 觉得 来 广州 算是 要 打卡 的 一家 店,"{""overall"":""8"",""taste"":""7"",""environment"":""6"",""service"":""8""}"
都 说来 广州 吃 糖水 就要 来南信 招牌 姜撞奶 红豆 双皮奶 牛 三星 云吞面 一楼 现金 二楼 微信 支付宝 位置 不少 但是 还是 很 拥挤 只能 拼桌 几乎 人手 一碗 的 姜撞奶 真的 超级 超级 嫩 滑奶 味十足 入口 即化 的 带 着 浓浓的 姜汁 香味 稍微 搅拌 一下 就 不再 是 冻状 了 真的 是 完全 没有 添加剂 的 奶制品 堪称 完美,"{""overall"":""9"",""taste"":""9"",""environment"":""3"",""service"":""8""}"
一直 很 期待 也 最 爱 吃 甜品 广州 的 甜品 很 丰富 很 多样 来 之前 就 一直 想着 一定 要 过来 吃 到 腻 今天 总算 实现 了 先来 拔草 南信 牛奶 甜品 专家 为了 吃 这家 特地 叫车 来到 上下 九 这条 街上 都 是 好吃 的 一家家 拔草 过来 南信 生意 太好堂 吃 需要 排队 无奈 只能 选择 外带 外带 的话 就 有 很多 局限 奶类 是 不 外带 的 点 了 红豆 双皮奶 杨枝 甘露 和 百合 莲心 绿豆沙 外带 的 虽然 没 那么 好看 但是 一点 都 不 影响 味道 还是 觉得 好 好吃 果然 名不虚传,"{""overall"":""9"",""taste"":""9"",""environment"":""7"",""service"":""8""}"
甜品 一直 是 我 的 心头肉 既然 来 了 广州 不吃 甜品 是 不会 罢休 的 可惜 还有 好几家 没有 办法 前往 南信 牛奶 甜品 专家 是 非常 火 的 甜品店 一 万多条 的 评论 就 能 看出 之 火爆 到 店 是 中午 点 左右 基本 是 爆满 还好 三楼 的 时候 刚好 有 一桌 起来 了 不然 还 真要 站 着 等 一会 先点 单 付钱 入座 等待 红豆 双皮奶 元份 等待 时 长 大概 分钟 食客 实在 太多 了 可 选择 冰热 夏天 当然 要 吃 冰 的 吃 的 有点 小 恶心 又 或者 是 自己 吃 不惯 挺 奇怪 的 杨枝 甘露 元份 这家 的 杨枝 甘露 很稀 感觉 没 啥 味道 料 很少 游客 店 随随便便 了 人均 大概,"{""overall"":""6"",""taste"":""5"",""environment"":""3"",""service"":""6""}"
补发 点评 目前为止 吃 过 的 最 好吃 的 双皮奶 没有 之一 去 广州 一定 要 尝试 他家 的 双皮奶 不然 是 人生 一大 憾事 杨枝 甘露 也 不错 比较 解腻 适合 饭后 吃 还 点 过 两道 主食 鲜虾 云吞面 尚可 菌菇 叉烧 肠粉 不 推荐 因为 他家 一直 人 很多 想着 难得 来 一次 多 尝试 一些 口味 匆忙 间 随机 点 了 个 椰汁 香芋 西米露 不错 香芋 又 糯 又 大块 但 不是 我 的 菜 仔细 研究 菜单 后 发现 好 想 吃 雪 牛奶 雪耳炖 木瓜 下次 有 机会 再 来 广州 玩 一定 要 再 来 吃,"{""overall"":""9"",""taste"":""9"",""environment"":""3"",""service"":""8""}"
在 上下 九 步行街 闲逛 一直 觉得 未能 找到 网上 所说 的 必 吃 小食 有些 失望 走 着 走 着 无意 中 发现 南信 门面 不 大 联想 到 网上 的 必 吃 菜单 这才 生出 一点 不 枉 此行 的 感觉 老字号 的 广式 甜品 设施 与 服务员 的 穿着 都 有点 趋 老二 层楼 一楼 说 是 网络 不好 只收 现金 如果 微信 支付 上 二楼 找桌 坐下 面对 目不暇接 的 菜单 不 知道 点 什么 好 只能 点 前面 带 五角星 的 招牌菜 姜撞奶 和 红豆 双皮奶 真心 不错 盛 上来 清清爽爽 模样 惹人 喜爱 这里 得 说 说 上 汤 牛 三星 第一次 吃 大概 是 牛 肝 之类 的 东东 不 知道 为啥 那么 受欢迎 我 等 实在 不敢恭维 一是 腥 的 很 吃 了 几口 腥味 难以 散去 二 是 腻味 吃 的 都 是 高脂肪 量 大 难以 下咽 现在 的 饮食 多为 糅合 之作 广东 人 不 排斥 湖南菜 湖南人 也 能 习惯 广东菜 大抵 有个 统一 的 评判 然而 这道 上 汤 牛 三星 令 我 等 在 广东 生活 近 二十年 的 人 都 无法 接受 看来 要 减分 最后 提 一个 建议 菜单 不必 密密麻麻 让 人 眼花缭乱 凸显 十余个 主打 就 好 了 目前 看 这 是 趋势 不 在于 多 而 在于 做 精,"{""overall"":""6"",""taste"":""7"",""environment"":""7"",""service"":""7""}"
广州 很胖 人 忍不住 的 要 吃 糖水 甜品 南信 的 店面 很 好找 上下 九 旅游区 就餐 环境 一般 毕竟 游人 实在 太 多 想要 悠哉 地 享受 一碗 甜品 基本 不 可能 赶场 一样 吃 完 就 走 红豆 双皮奶 红豆 馅略 有点 甜腻 但配 上 基本 没有 调味 的 双皮奶 就 跟 适口 了 煮 到 绵软 的 豆 馅儿 保持 着 豆子 的 形状 但 舌尖 和 上牙膛 的 力量 足以 碾碎 浓浓的 豆香 和 蜜糖 的 味道 扩散 开来 还有 双皮奶 润滑 清甜 的 滋味 很 是 不错 吃 完 也 不 觉得 腻 招牌 薄撑 因为 好奇 点来 的 甜品 其实 是 糯米 卷子 里面 有 花生 碎 和 椰蓉 入口 软 糯 甜蜜 热乎乎 的 感觉 非常适合 北方 的 冬天 但 由于 花生酱 很腻 而且 量 大 一份 六个 吃 到 第二个 基本 就 差不多 了,"{""overall"":""7"",""taste"":""7"",""environment"":""3"",""service"":""6""}"
位于 步行街 上 沿着 步行街 一直 走 就 可以 到达 去 的 时候 不用 排队 门口 有 几个 坐 着 原以为 是 排队 等候 呢 结果 发现 人家 是 等 打包带 走 大堂 里 有点 乱 拼桌 现象 到处 可见 服务员 态度 不够 热情 可能 老字号 的 普遍现象 小妞 最 爱 甜品 了 红豆 双皮奶 元 小妞 竟然 认为 热 的 更 好吃 红豆 细腻 甜 甜糯 糯 双皮奶 丝稠 顺滑 入口 即 化 用水 牛奶 做 原材料 杨枝 甘露 感觉 一般般 吧 牛 三星 汤 这个 量 很 扎实 里面 全是 内脏 之类 的 不敢 多 吃 味道 还是 不错 的 双皮奶 元 冷 的 个人 更 喜欢 冷 的 冷藏 的 味道 更佳 其状 如膏 其色 洁白 质感 细腻 嫩 滑 口味 甜香 清淡,"{""overall"":""7"",""taste"":""8"",""environment"":""3"",""service"":""6""}"
不 知道 算不算 网红 只是 在 很多 小伙伴 的 朋友圈 都 看到 过 自然 要 来 打卡 更何况 一 晚上 在 北京路 和 上下 九转 得 饥肠辘辘 晚饭 都 没 吃 记得 似乎 要 左 拐 延伸 蛮远 的 路 才能 找到 红色 的 招牌 漆金 的 字 很 显眼 一堆 人聚 在 门口 等 陈皮 红 豆沙 跨进 门槛 陈皮 的 香气 非常 突出 最后 走 的 时候 很 后悔 没来 上 一碗 等等 等 去 他们 家 就 这 三个 字 都 晚上 点半 了 还是 乌 泱泱 那么 多人 好不容易 拼 到 一桌 拿 起 菜单 有点 懵 本来 打算 就 吃 了 甜品 就 走 结果 发现 他们 家 是 综合 的 店 还有 咸食 于是 研究 了 老半天 煲 仔 牛腩 牛腩 偏老 咬 不 下去 萝卜 倒 是 酥软 但是 味重 基本 弃 了 鲜虾 云吞 不赖 但 因为 广州 此物 遍地 都 烧 得 不错 因此 没有 特别 的 感觉 西关 猪脚 姜醋 捞面 这道 新奇 的 面点 让 我 很 尴尬 自己 仗 着 点菜 鲜少 失手 毅然 挑选 了 这道 结果 嘛 酸 甜味 且 姜 浓 的 面 吃 不惯 但 这 猪脚 姜醋 现在 查 了 下 却是 相当 有名 的 是 一道 广东 的 传统 名菜 选用 猪脚 鸡蛋 肉 姜及 广东 特有 的 甜 醋 精心 烹饪 出来 的 尤其 对 女生 非常 滋补 的 菜肴 不过 吧 我 是 欣赏 不 来 口味 差异 太大 了 去年 回看 拜托 了 冰箱 的 时候 也 曾 发现 蔡康永 恋恋 不 忘 童年 吃 到 的 一道 潮汕 酸甜 拌面 大概 也 是 这种 系列 的 口味 滚淡 表示 理解 但是 真的 无福消受 椰子 木瓜 炖雪耳 我 爸 过来 捞 了 一块 说 这个 冰 好吃 我 说 黄 的 是 木瓜 我爸 瞬间 石化 了 哈哈哈 双皮奶 之前 在 上下 九 另外 一家 茶餐厅 里 饭菜 不 好吃 就 双皮奶 还行 我 爸 就 很 有 兴趣 地 又 给 自己 点 了 一碗 还 好奇 问 我 吃 起来 有没有 讲究 我 跟 他 说 了 标准 后 他 说 恩 达到 了 叫 我 也 尝尝 讲真 我 觉得 南信 的 甜品 比 咸食 做得好 这份 双皮奶 尤其 靓 如果说 广州 街头 任意 一家 双皮奶 都 比 杭州 餐厅 供应 得 好 一个 手掌 那么 南信 就是 这些 双皮奶 的 级别 说不出 的 滑腻 绵甘 超级 棒,
这家 店 可谓 是 人气 爆棚 小贴士 是 座位 先 让 同行 小伙伴 找 好 否则 买好 都 不 知道 坐 哪里 这家 店有 上下 两层 楼下 一层 由于 网络 原因 只能 付现金 二层 可微信 支付宝 我点 的 是 椰汁 木瓜 雪耳 广州 的 甜品 量 都 很大 端上来 满满 一碗 超大 超 满足 雪耳配 着 椰汁 清滑 爽口 不 甜腻 再配 着 大块 木瓜 别提 有 多 满足 了 吃 着 幸福感 爆棚 之后 顺便 外带 了 红豆 双皮奶 真心 好评 完全 不 甜腻 奶 味十足 红豆 也 是 现烧 的 红 豆沙 不 甜腻 配 上 双皮奶 绝代 双骄 啊 希望 开来 上海,"{""overall"":""9"",""taste"":""9"",""environment"":""6"",""service"":""8""}"
这次 是 特地 为了 南信 才 去 的 上下 九 真的 是 一家 很 任性 的 店 准点 九点半 开门 九点 二十 到 门口 还是 关店 状态 三十分 就 冲进去 拿 了 号 因为 是 第一个 到 的 所以 店里 都 没有 人 很少 见 的 看不到 人山人海 的 时间 点 想着 还是 点 招牌 吧 双皮奶 点 了 红豆 双皮奶 一直 等 一直 等等 到 一楼 从 只有 我 一个 人到 整场 坐满 大家 开始 拼桌 还好 早上 时间 充裕 过 了 大概 半个 小时 服务员 终于 端 着 大 托盘 出来 了 一小 碗 我点 了 热 的 所以 盖 着 盖子 看起来 卖相 不是 特别 于是 希望 味道 能 好 一点 最后 有点 失望 因为 一勺 下去 发现 中间 是 稀 豆腐脑 的 那种 流质 状态 太碎 太碎 了 并 没有 很 喜欢 难道 这 就是 正宗 的 双皮奶 以及 味道 真的 没有 想象 中 那么 好 齁 甜 三口 之内 就 腻 了 还好 红豆 不甜 但 做成 了 红 豆沙 再 和 稀 的 双皮奶 在 一起 口感 真的 很 总之 接受 无能 服务 点单 的 阿姨 态度 真的 有点 硬 不过 可能 就是 大 店 通病 没什么 好 说 的 等待 的 时间 会 有 服务员 上 茶水 味道 就 不 评论 了 总之 我 喝 不惯,"{""overall"":""3"",""taste"":""3"",""environment"":""3"",""service"":""3""}"
睡 到 自然 醒 又 去 上下 九 步行街 的 南信 要 一份 姜撞奶 一份 莲子 伴 椰汁 双皮奶 一份 上 汤 牛 三星 算重 口味 吧 这里 人 都 爱 吃 牛 肺 牛心 和 牛 肝尝 了 几片 除了 韭菜 好吃 那些 嘎嘎 片片 真 不 喜欢 剩下 浪费 了 罪过 这 算是 此次 游走 在外 最后 一天 的 早餐 了,"{""overall"":""6"",""taste"":""6"",""environment"":""3"",""service"":""6""}"
广州 的 老字号 不少 其中 招牌 中有 文字 的 就 有 好几家 每家 都 有 自己 的 招牌 产品 而 在 这里 我 独爱 他家 的 猪 手面 可能 会 有人 有 疑问 他家 不是 主打 牛奶 甜品 出名 的 嘛 你 怎么 会 喜欢 吃 猪 手面 呢 我 可以 负责 任 的 告诉 你 其实 他家 的 猪 手面 还 真是 挺好吃 的 哟 这里 不算 大 怀旧 的 装修 红木 的 桌椅 大理石 的 台面 无一 不 在 诉说着 他家 的 历史 在 这里 点上 一碗 面食 或者 一份 甜品 在 美味 中 慢慢 感觉 时间 的 流畅 平日 工作 中 的 疲惫 仿佛 都 被 挡 在 了 门外 这里 给 你 的 只有 美食 和 岁月 静好 点 了 一份 最爱 的 猪 手面 猪手 洗得 很 干净 几乎 没有 什么 细毛 猪皮 爽滑 弹牙 面条 也 是 记忆 中 的 味道 浓厚 的 汤汁 整碗 喝完 也 不会 口渴 牛 三星 满满的 一碗 牛 三星 完全 遮盖 了 那 碗 面条 牛 三星 口感 爽脆 而且 没有 异味 洗得 很 干净 好吃 真心 的 很 喜欢 广州 的 老字号 喜欢 周末 搭 着 公交 游 广州 去 到 想 去 的 地方 为 的 就是 那 份 记忆 中 的 味道,"{""overall"":""9"",""taste"":""9"",""environment"":""8"",""service"":""8""}"
传统 的 广式 甜品店 就 应该 是 这个 样子 店面 不 大 店员 都 是 有点 年纪 的 阿姨 很 亲切 的 说 着 家常 环境 不用 特别 好 但是 给 人 感到 是 街坊邻里 聚脚 的 地方 甜品 品种 是 传统 为主 各种 奶制品 姜撞奶 双皮奶 凤凰 奶糊 三个 不同 甜度 级别 的 还有 杨枝 甘露 这 类 港式 甜品 也 混 在 里面 有 二楼 但 不常开 在 上下 九开 的 这家 毕竟 卖 的 是 情怀 打 传统 牌 但是 又 需要 走量 没法 做 精 按 我 的 口味 是 刚刚 好 不过 福建 人民 表示 吃 不惯 收银台 在 最 里面 手机信号 非常 不好 付款 方式 受到 严重 限制,"{""overall"":""7"",""taste"":""8"",""environment"":""6"",""service"":""8""}"
老广 同事 极力推荐 的 店铺 在 宝华 面馆 吃 完 主食 一路 散步 过来 接着 战斗 知道 自己 的 肚量 就 点 了 红豆 双皮奶 和 凤凰 奶糊 不 支持 微信 支付宝 只能 现金 拿 小票 等 了 近 十分钟 双皮奶 姗姗 而 来 看着 一 大碗 上面 的 红豆 一 大片 而且 炖 得 绵绵 的 迫不及待 舀 起 一勺 入口 天呐 这 才 是 我 梦寐以求 的 双皮奶 浓郁 的 奶香特 自然 的 感觉 而 不是 靠 奶粉 冲 的 假 味道 而且 甜度 把 控得 很 完美 多一分 就 腻 少 一分 就 淡 我 觉得 之前 在 文明 路 吃 的 完全 就是 吼 得 凶 的 网红店 水平 而已 和 南信家 相比 差距 太大 啦 再 等 了 一会儿 凤凰 奶糊 上来 了 甜蜜 香浓 好暖心 啊 甜蜜 的 感觉 让 我 只 想 沉溺 其中 不愿 自拔 两碗 下肚 真的 没 力气 再 吃 了 挺 着 撑 得 不行 的 肚子 幸福 离开 最棒 的 甜品店 强烈推荐,"{""overall"":""9"",""taste"":""9"",""environment"":""8"",""service"":""6""}"
上下 九 步行街 上 的 网红 甜品店 人气 爆棚 门口 有 一面 墙 的 各种 认证 获奖 加持 环境 上下 两层楼 座位 很 紧凑 还是 人满为患 到 店 运气 不错 正好 接到 一张 四人桌 服务 下单 排队 时间 不长 上餐 其实 也 很快 就是 对 单号 总是 出错 前后 好 几次 建议 改进 一下 对接 双皮奶 杨枝 甘露 椰汁 木瓜 雪耳 椰汁 红豆 西米露 都 很 地道 没有 雷区 分量 也 很 足 吃 完 都 有点 饱腹 建议 按四人 三份 会 点 比较 好,"{""overall"":""8"",""taste"":""9"",""environment"":""3"",""service"":""7""}"
不是 周末 节假日 在 上下 九 步行街 的 南信 甜品店 也 是 人山人海 就算 肯 一起 搭台 也 必须 等位 好 在 等 了 没有 多久 就 可以 和 别人 一起 搭台 了 点 了 姜撞奶 很 香 的 奶味 甜度 适中 姜汁 遇到 热 牛奶 静置 分钟 后 会 凝固 奶 上面 放一 小勺 不 沉入 口嫩 滑 细腻 除了 奶 味十足 之外 还有 浓浓的 姜味 十分 暖 胃 椰汁 红豆 香芋 泥 如此 甜品 名字 一样 椰汁 香 红豆 粉 香芋 泥 真的 是 粉 香粉 香 的 这 三样 混 和 在 一起 做 的 糖水 真的 好 好吃 喜欢 吃 香芋 的 我 大爱赞 老字号 的 出品 果然 稳定,"{""overall"":""9"",""taste"":""9"",""environment"":""3"",""service"":""6""}"
